,fes_youth,fes_p_ss_fc_pr,macv_p_ss_fs,macv_p_ss_fo,macv_p_ss_isr,macv_p_ss_fr,macv_p_ss_r,demo_prnt_age_v2,demo_prnt_marital_v2,demo_comb_income_v2,demo_fam_exp,demo_yrs_1,demo_yrs_2,parent_rules_q1,parent_rules_q4,parent_rules_q7,y
208,1,1.0,4.17,2.8,3.0,2.0,4.43,58.0,1,10,0,1,2,2,2,2,0
209,3,2.0,4.5,4.4,4.0,3.2,3.0,43.0,4,6,1,1,3,0,0,0,0
210,1,1.0,5.0,5.0,5.0,5.0,5.0,43.0,4,3,1,3,4,0,0,0,0
211,4,4.0,4.33,4.4,3.4,3.8,3.29,31.0,1,6,1,2,4,0,0,0,1
212,0,5.0,3.33,3.2,3.2,2.8,1.29,54.0,1,9,0,0,1,0,0,0,0
213,3,1.0,4.33,4.2,3.6,3.4,3.57,39.0,5,7,0,0,3,0,0,0,0
214,5,1.0,3.83,2.8,4.4,1.8,1.86,31.0,5,5,0,0,1,2,0,2,1
215,0,3.0,5.0,4.6,3.2,4.0,5.0,30.0,5,1,1,2,4,0,0,0,1
216,0,6.0,2.83,4.0,2.4,1.6,1.0,43.0,1,9,1,2,1,2,0,2,0
217,3,5.0,3.83,3.2,4.2,3.6,4.29,41.0,1,9,0,0,3,0,0,2,0
218,1,0.0,4.5,3.4,3.2,3.6,4.29,32.0,1,4,1,1,4,0,0,0,0
219,1,2.0,4.83,4.4,4.4,4.8,5.0,51.0,1,9,0,3,4,2,2,2,1
220,3,0.0,4.33,4.0,3.4,3.6,3.57,36.0,1,4,0,0,2,0,0,2,0
221,0,0.0,4.17,4.2,3.2,4.0,3.29,41.0,1,9,0,0,3,2,2,2,0
222,1,0.0,3.83,2.8,3.4,2.8,1.43,48.0,1,8,0,1,2,1,0,2,1
223,7,4.0,2.83,3.0,4.0,2.2,1.57,36.0,1,7,1,3,3,0,0,0,1
224,0,3.0,3.83,4.2,4.8,4.0,4.86,38.0,1,9,0,3,4,2,2,2,1
225,2,1.0,5.0,4.6,3.8,4.6,3.57,46.0,3,4,0,0,1,2,2,2,1
226,4,2.0,4.67,5.0,3.6,5.0,5.0,38.0,5,7,1,3,4,0,0,0,0
227,1,0.0,4.0,4.0,3.2,3.8,4.0,42.0,1,1,1,3,4,0,0,0,0
228,0,3.0,4.67,3.8,2.8,4.0,4.71,32.0,1,9,0,3,4,2,0,2,0
229,0,0.0,4.0,2.8,3.4,3.2,3.57,40.0,3,9,0,1,3,0,0,0,0
230,0,2.0,4.83,4.2,4.2,3.0,2.43,49.0,3,7,0,0,1,0,0,0,0
231,0,0.0,4.0,2.6,3.0,2.8,4.57,39.0,1,8,0,3,4,1,0,0,0
232,0,1.0,4.67,4.4,3.2,2.8,3.86,39.0,1,9,0,2,4,2,2,2,0
233,3,4.0,4.5,4.0,3.6,3.2,4.57,39.0,1,4,1,3,4,0,0,0,1
234,9,4.0,4.17,3.6,3.0,3.0,4.29,33.0,1,7,0,3,4,0,0,0,1
235,5,5.0,4.83,4.8,4.0,3.8,4.71,34.0,1,6,1,1,2,0,0,0,1
236,0,0.0,4.0,4.0,3.4,3.6,3.86,45.0,3,6,0,2,4,0,0,2,0
237,1,0.0,4.83,4.2,3.6,3.8,5.0,42.0,1,8,0,3,4,0,0,0,0
238,0,3.0,5.0,3.6,4.2,3.8,4.71,41.0,1,8,0,3,4,0,0,0,0
239,3,6.0,4.33,3.2,3.8,3.0,3.71,33.0,1,9,0,1,3,2,0,2,1
240,0,1.0,3.67,3.4,3.0,3.6,3.86,34.0,3,9,0,2,3,0,0,0,0
241,1,1.0,2.83,2.8,3.8,3.0,1.0,41.0,3,7,0,0,1,0,0,0,0
242,3,3.0,4.17,4.2,3.0,4.2,5.0,58.0,5,4,1,4,4,0,0,0,1
243,1,2.0,3.5,3.4,3.2,2.6,1.14,38.0,1,10,0,1,2,0,0,0,0
244,6,9.0,3.33,3.4,2.4,3.4,2.14,26.0,4,1,1,0,1,0,0,0,1
245,1,1.0,4.0,3.0,3.8,2.0,1.86,50.0,1,10,0,0,1,0,0,0,0
246,8,2.0,4.17,4.0,3.0,3.6,5.0,49.0,1,9,0,3,4,0,0,0,0
247,1,5.0,3.0,3.0,3.0,3.0,3.0,29.0,5,1,0,1,3,0,0,0,1
248,1,5.0,4.0,3.6,3.2,3.6,5.0,38.0,1,9,0,3,4,0,0,0,1
249,4,4.0,4.0,3.2,4.0,4.0,4.0,48.0,1,10,0,3,3,0,0,0,1
250,2,0.0,4.67,4.6,4.0,4.2,5.0,49.0,1,5,0,3,4,0,0,0,0
251,0,1.0,4.83,4.6,3.8,4.0,4.14,37.0,1,8,0,1,4,0,0,0,0
252,1,0.0,4.67,4.0,3.2,4.2,5.0,46.0,1,10,0,3,4,0,0,0,0
253,1,3.0,4.67,3.8,2.8,3.8,4.43,37.0,1,7,0,1,4,0,0,0,0
254,4,6.0,4.17,4.0,3.8,3.8,4.29,49.0,1,8,0,4,4,0,0,0,1
255,1,3.0,4.0,3.2,3.4,2.6,3.57,34.0,1,8,0,3,4,0,0,0,1
256,4,0.0,4.0,3.2,3.8,3.6,4.57,41.0,1,9,0,2,4,0,0,0,1
257,3,2.0,5.0,5.0,5.0,5.0,5.0,28.0,5,2,0,1,4,0,0,0,0
258,4,0.0,4.83,4.6,4.4,4.0,5.0,38.0,5,3,1,3,4,0,0,0,1
259,0,4.0,4.5,3.4,4.6,3.8,3.43,43.0,1,6,1,1,3,2,2,2,1
260,1,4.0,4.5,4.0,3.4,3.8,2.29,35.0,1,10,0,0,2,0,0,0,0
261,1,4.0,4.0,3.6,2.6,3.0,4.71,42.0,1,7,0,4,4,0,0,0,1
262,5,0.0,4.17,3.6,3.0,3.2,1.86,40.0,1,10,0,0,2,0,0,0,0
263,1,6.0,3.5,2.8,4.0,2.8,1.0,43.0,1,7,1,0,1,2,2,2,0
264,3,1.0,3.33,2.2,3.4,2.6,2.0,40.0,1,9,0,1,2,0,0,0,0
265,0,2.0,4.67,4.0,4.2,2.4,1.0,38.0,4,7,0,1,1,0,0,0,0
